"size";"compares";"swaps";"time"
100;606;392;0,1
100;584;317;0,0
100;606;396;0,1
100;575;369;0,0
100;571;316;0,0
100;592;375;0,0
100;717;383;0,0
100;581;371;0,1
100;563;357;0,0
100;627;399;0,1
100;737;405;0,0
100;775;386;0,1
100;564;408;0,0
100;627;366;0,0
100;564;320;0,0
100;593;376;0,0
100;639;332;0,1
100;626;416;0,0
100;673;369;0,1
100;572;393;0,0
100;633;467;0,1
100;545;338;0,0
100;609;413;0,1
100;545;392;0,0
100;555;400;0,0
100;613;350;0,1
100;566;365;0,0
100;669;323;0,1
100;527;406;0,0
100;599;414;0,1
100;646;433;0,0
100;613;368;0,1
100;542;406;0,0
100;567;352;0,0
100;611;396;0,1
100;526;337;0,0
100;604;385;0,1
100;682;364;0,0
100;594;407;0,1
100;553;362;0,0
100;552;322;0,1
100;571;372;0,0
100;551;405;0,1
100;596;371;0,0
100;560;389;0,1
100;584;441;0,0
100;544;364;0,0
100;598;436;0,1
100;681;399;0,0
100;567;348;0,1
100;620;341;0,0
100;649;349;0,1
100;601;340;0,0
100;566;390;0,1
100;589;441;0,0
100;591;388;0,1
100;626;365;0,0
100;529;343;0,0
100;562;359;0,1
100;562;325;0,0
100;593;313;0,1
100;559;364;0,0
100;556;334;0,1
100;583;337;0,0
100;658;378;0,1
100;591;396;0,0
100;582;380;0,1
100;614;349;0,0
100;580;350;0,1
100;568;353;0,0
100;596;352;0,1
100;609;325;0,0
100;602;395;0,0
100;579;360;0,1
100;601;417;0,0
100;582;354;0,1
100;576;357;0,0
100;617;371;0,0
100;569;387;0,0
100;635;422;0,0
100;608;354;0,1
100;732;409;0,0
100;587;343;0,1
100;591;343;0,0
100;597;329;0,1
100;607;358;0,0
100;837;295;0,1
100;552;392;0,0
100;576;342;0,0
100;563;354;0,0
100;554;357;0,0
100;578;407;0,1
100;609;341;0,0
100;590;400;0,1
100;568;305;0,0
100;549;398;0,1
100;542;384;0,0
100;560;341;0,1
100;654;445;0,0
100;557;332;0,1
200;1344;876;0,1
200;1504;857;0,1
200;1407;994;0,1
200;1436;912;0,2
200;1385;804;0,1
200;1477;938;0,1
200;1445;795;0,1
200;1380;764;0,1
200;1351;803;0,1
200;1337;966;0,1
200;1621;1057;0,1
200;1388;828;0,1
200;1835;1088;0,2
200;1457;838;0,1
200;1386;772;0,1
200;1387;829;0,1
200;1489;817;0,1
200;1359;898;0,1
200;1399;837;0,1
200;1416;894;0,1
200;1443;803;0,1
200;1504;931;0,1
200;1698;1006;0,1
200;1395;791;0,1
200;1444;911;0,1
200;1556;850;0,1
200;1345;869;0,1
200;1400;909;0,1
200;1451;852;0,1
200;1551;854;0,1
200;1534;737;0,1
200;1591;761;0,1
200;1447;764;0,1
200;1501;825;0,1
200;1394;960;0,1
200;1514;798;0,1
200;1484;864;0,1
200;1395;936;0,1
200;1279;880;0,1
200;1458;896;0,2
200;1572;737;0,1
200;1466;870;0,1
200;1348;888;0,1
200;1408;849;0,1
200;1494;936;0,1
200;1508;813;0,1
200;1419;875;0,1
200;1407;884;0,2
200;1494;1025;0,1
200;1364;807;0,1
200;1580;898;0,1
200;1508;914;0,1
200;1445;987;0,1
200;1515;745;0,1
200;1373;859;0,1
200;1404;708;0,1
200;1504;829;0,1
200;1358;846;0,1
200;1307;902;0,1
200;1365;945;0,1
200;1495;779;0,1
200;1525;1050;0,2
200;1455;957;0,1
200;1708;804;0,1
200;1353;896;0,1
200;1501;759;0,1
200;1356;843;0,1
200;1354;940;0,1
200;1560;1125;0,1
200;1492;940;0,1
200;1495;892;0,1
200;1564;692;0,1
200;1522;840;0,1
200;1377;862;0,1
200;1398;808;0,1
200;1370;933;0,1
200;1419;831;0,1
200;1515;1027;0,1
200;1516;793;0,1
200;1445;867;0,1
200;1371;836;0,1
200;1528;954;0,1
200;1543;887;0,1
200;1526;789;0,1
200;1608;815;0,1
200;1401;931;0,1
200;1444;1002;0,1
200;1319;829;0,1
200;1589;944;0,2
200;1666;896;0,1
200;1454;789;0,1
200;1537;1054;0,1
200;1525;809;0,1
200;1389;827;0,1
200;1518;698;0,1
200;1463;842;0,1
200;1374;824;0,1
200;1454;798;0,1
200;1622;786;0,1
200;1325;936;0,1
300;2696;1498;0,2
300;2581;1344;0,2
300;2243;1390;0,2
300;2347;1275;0,2
300;2179;1370;0,2
300;2564;1582;0,2
300;2404;1381;0,2
300;2360;1327;0,2
300;2739;1366;0,2
300;2289;1269;0,2
300;2878;1356;0,2
300;2290;1459;0,2
300;2291;1512;0,2
300;2405;1551;0,2
300;2428;1398;0,2
300;2220;1377;0,2
300;2336;1308;0,2
300;2456;1267;0,2
300;2200;1315;0,2
300;2420;1412;0,2
300;2608;1363;0,2
300;2339;1384;0,2
300;2231;1531;0,2
300;2200;1428;0,2
300;2337;1359;0,2
300;2292;1392;0,2
300;2251;1439;0,2
300;2333;1599;0,2
300;2320;1486;0,2
300;2473;1431;0,2
300;2238;1444;0,2
300;2318;1479;0,2
300;2248;1255;0,1
300;2345;1543;0,2
300;2369;1280;0,2
300;2154;1433;0,2
300;2569;1263;0,2
300;2365;1529;0,2
300;2264;1338;0,1
300;2540;1236;0,1
300;2539;1436;0,1
300;2298;1311;0,1
300;2292;1261;0,2
300;2490;1414;0,2
300;2204;1393;0,2
300;2209;1469;0,2
300;2294;1421;0,2
300;2305;1402;0,2
300;2357;1342;0,2
300;2485;1293;0,2
300;2780;1313;0,2
300;2259;1475;0,2
300;2204;1313;0,2
300;2872;1681;0,2
300;2259;1513;0,2
300;2422;1349;0,2
300;2537;1453;0,2
300;2370;1426;0,2
300;2319;1422;0,2
300;2376;1394;0,2
300;2462;1487;0,2
300;2300;1601;0,2
300;2280;1405;0,2
300;2633;1405;0,2
300;2409;1523;0,1
300;2294;1230;0,1
300;2265;1380;0,2
300;2310;1468;0,2
300;2237;1323;0,2
300;2282;1356;0,2
300;2328;1454;0,2
300;2348;1438;0,2
300;2495;1370;0,2
300;2281;1510;0,2
300;2258;1424;0,2
300;2465;1363;0,2
300;2315;1435;0,2
300;2404;1379;0,2
300;2821;1520;0,2
300;2486;1287;0,2
300;2492;1472;0,2
300;2212;1395;0,1
300;2438;1396;0,1
300;2357;1352;0,1
300;2320;1436;0,1
300;2335;1446;0,1
300;2438;1372;0,2
300;2453;1471;0,2
300;2212;1472;0,2
300;2180;1486;0,2
300;2389;1511;0,2
300;2224;1304;0,2
300;2246;1436;0,2
300;2763;1312;0,2
300;2377;1313;0,2
300;2295;1530;0,2
300;2713;1558;0,2
300;2217;1422;0,2
300;2555;1647;0,2
300;2655;1540;0,2
400;3133;1688;0,2
400;3230;1978;0,2
400;3424;1984;0,3
400;3242;2071;0,3
400;3130;1929;0,2
400;3184;2202;0,2
400;3909;1950;0,3
400;3178;2079;0,3
400;3226;1868;0,3
400;3670;2283;0,3
400;3507;2181;0,2
400;3159;1833;0,2
400;3405;2047;0,2
400;3067;1918;0,2
400;3309;1883;0,3
400;3368;2161;0,3
400;4035;1820;0,3
400;3135;2108;0,3
400;3296;1701;0,3
400;3200;1889;0,2
400;3232;2110;0,2
400;3312;1991;0,2
400;3382;2274;0,3
400;3486;1946;0,3
400;3219;1941;0,2
400;3343;1993;0,2
400;3163;1843;0,2
400;3199;1964;0,3
400;3407;2015;0,2
400;3551;1990;0,2
400;3276;2041;0,2
400;3202;2014;0,3
400;3344;2038;0,3
400;3562;2214;0,3
400;3222;1877;0,3
400;3252;1931;0,2
400;3207;1850;0,2
400;3244;1981;0,3
400;3082;1964;0,3
400;3345;1829;0,2
400;3408;1873;0,2
400;3507;1956;0,3
400;3247;2197;0,3
400;3237;2073;0,3
400;3763;2133;0,3
400;3294;2064;0,2
400;3323;2226;0,2
400;3217;1997;0,2
400;3640;1896;0,2
400;3180;1778;0,3
400;3280;2106;0,2
400;3428;1927;0,2
400;3689;1995;0,3
400;3266;1870;0,3
400;3468;2174;0,2
400;3178;2048;0,2
400;3300;1734;0,2
400;3308;1788;0,3
400;3329;1723;0,2
400;4093;1935;0,2
400;3238;1817;0,2
400;3422;2017;0,3
400;3541;1846;0,3
400;3435;2155;0,2
400;3210;1842;0,2
400;3489;1962;0,3
400;3146;2088;0,3
400;3229;1808;0,2
400;3435;1961;0,2
400;3474;1905;0,3
400;4143;1719;0,3
400;3641;1865;0,2
400;3326;1896;0,2
400;4098;1696;0,2
400;3342;1997;0,3
400;3312;2090;0,3
400;3230;2009;0,2
400;3298;1856;0,2
400;3510;1906;0,3
400;3332;1742;0,2
400;3173;2009;0,2
400;4020;2210;0,2
400;3128;1872;0,2
400;3205;1904;0,3
400;3292;2251;0,3
400;3318;1940;0,2
400;3157;1902;0,2
400;3635;1857;0,3
400;3116;1939;0,2
400;3094;1690;0,2
400;3303;2149;0,3
400;3263;1831;0,2
400;3369;2032;0,2
400;3385;2077;0,2
400;3175;1960;0,3
400;3232;1793;0,2
400;3462;2221;0,2
400;3331;1829;0,2
400;3318;2126;0,3
400;3380;2220;0,3
500;4373;2617;0,3
500;4744;2515;0,3
500;4251;2712;0,3
500;4687;2870;0,3
500;4534;2302;0,3
500;4768;2650;0,3
500;4326;2190;0,3
500;4790;2367;0,3
500;4344;2409;0,3
500;4122;2625;0,3
500;4130;2494;0,3
500;4223;2486;0,3
500;4603;2482;0,3
500;4616;2551;0,3
500;4285;2564;0,3
500;4635;2469;0,3
500;4555;2412;0,3
500;4300;2562;0,3
500;4200;2424;0,3
500;4395;2462;0,3
500;4452;2878;0,3
500;5362;2848;0,3
500;4791;2976;0,4
500;4318;2829;0,3
500;4072;2476;0,3
500;5081;2879;0,4
500;4078;2498;0,3
500;4420;2515;0,3
500;4269;2554;0,3
500;4368;2731;0,3
500;5048;2176;0,3
500;4226;2382;0,3
500;4305;2335;0,3
500;4500;2775;0,4
500;4580;2619;0,3
500;4200;2351;0,2
500;4366;2543;0,3
500;4051;2714;0,3
500;4272;2252;0,3
500;4481;2303;0,3
500;4525;2435;0,3
500;4822;2839;0,3
500;4320;2673;0,3
500;4352;2679;0,3
500;4643;2584;0,3
500;4277;2583;0,3
500;4171;2499;0,3
500;4208;2703;0,3
500;4725;2230;0,3
500;4263;2379;0,3
500;4493;2544;0,3
500;4416;2703;0,3
500;4313;2933;0,3
500;4883;2753;0,3
500;4362;2810;0,3
500;4498;2264;0,3
500;4146;2491;0,3
500;4660;2738;0,3
500;4601;2724;0,4
500;4314;2521;0,3
500;4277;2721;0,3
500;4097;2342;0,3
500;4651;3073;0,4
500;4137;2593;0,3
500;4310;2557;0,3
500;4599;2353;0,3
500;4237;2493;0,3
500;4293;2311;0,3
500;4599;2457;0,3
500;5170;2553;0,3
500;4270;2524;0,3
500;4897;2419;0,3
500;4242;2730;0,3
500;4470;2888;0,3
500;4423;2868;0,3
500;4253;2662;0,3
500;4679;2555;0,3
500;4251;2700;0,3
500;4829;2410;0,3
500;4214;2481;0,3
500;4724;2802;0,3
500;4545;2915;0,3
500;4413;2821;0,3
500;4349;2623;0,3
500;4736;2718;0,4
500;4477;2457;0,3
500;4303;2483;0,2
500;4373;2365;0,3
500;4269;2380;0,3
500;4401;2675;0,3
500;4466;2509;0,3
500;4539;2401;0,3
500;4234;2576;0,3
500;4227;2340;0,2
500;4470;2690;0,3
500;4401;2475;0,2
500;4318;2379;0,3
500;4263;2496;0,3
500;4385;2741;0,3
500;4931;2706;0,4
600;5104;3001;0,3
600;5421;3265;0,4
600;5517;3323;0,4
600;6269;3322;0,4
600;5807;3515;0,5
600;5108;3112;0,4
600;5576;3411;0,4
600;5562;3220;0,4
600;5262;3058;0,4
600;5825;2828;0,5
600;5247;3217;0,4
600;5092;3059;0,4
600;5552;3423;0,4
600;5587;3166;0,3
600;5792;3396;0,4
600;5525;3267;0,3
600;5265;3406;0,4
600;5884;3437;0,4
600;5404;3161;0,4
600;5674;3519;0,4
600;6159;3086;0,4
600;5271;3215;0,4
600;5720;2980;0,4
600;5404;3005;0,3
600;5882;2894;0,4
600;5545;3591;0,4
600;6093;2793;0,3
600;5143;3121;0,3
600;5413;2890;0,4
600;5618;3355;0,4
600;5416;2991;0,3
600;5554;3432;0,4
600;5953;3009;0,4
600;5675;2876;0,3
600;5285;3274;0,4
600;5951;3419;0,4
600;5255;3113;0,3
600;5530;3367;0,4
600;5388;3035;0,4
600;5554;3458;0,3
600;5462;3131;0,4
600;5420;3310;0,4
600;5517;3340;0,4
600;5360;2737;0,4
600;5461;3082;0,4
600;5351;3270;0,4
600;5464;3196;0,3
600;6071;3118;0,4
600;5385;3116;0,4
600;5489;3502;0,4
600;5079;3164;0,4
600;5528;3231;0,4
600;5302;3000;0,3
600;5336;3288;0,4
600;5524;3068;0,4
600;5326;2884;0,4
600;5360;2923;0,3
600;6546;3681;0,4
600;5591;3291;0,3
600;5344;2862;0,3
600;5248;3279;0,4
600;5703;2726;0,4
600;6435;3093;0,4
600;5094;3265;0,3
600;5722;3364;0,4
600;5417;2934;0,3
600;5306;2940;0,3
600;5640;3016;0,3
600;5477;3238;0,4
600;5980;3009;0,4
600;5443;3363;0,3
600;5204;3259;0,4
600;5776;3276;0,4
600;5229;2837;0,3
600;5360;3097;0,3
600;5938;3210;0,4
600;5218;2983;0,4
600;5549;3220;0,4
600;5305;2904;0,3
600;5155;3139;0,3
600;5445;3151;0,4
600;5219;2907;0,4
600;5555;2748;0,4
600;5058;3400;0,3
600;5503;2750;0,3
600;5302;3521;0,4
600;5735;3166;0,4
600;5469;3198;0,3
600;5746;3111;0,4
600;5610;2777;0,4
600;5212;3155;0,4
600;5296;3027;0,3
600;5994;3324;0,4
600;5814;2803;0,4
600;5629;3224;0,4
600;5288;3349;0,3
600;5302;3279;0,4
600;5540;3186;0,4
600;5194;2871;0,3
600;5339;2864;0,3
700;6721;3751;0,4
700;7748;3492;0,4
700;6539;3708;0,4
700;6626;3767;0,5
700;6439;4082;0,5
700;6776;3560;0,5
700;6216;3720;0,4
700;6443;3513;0,4
700;6575;3388;0,5
700;6723;4036;0,5
700;6428;3598;0,4
700;6157;3887;0,4
700;6500;3772;0,4
700;6138;3793;0,4
700;6027;3643;0,4
700;6962;3422;0,4
700;7005;4016;0,5
700;6204;3732;0,4
700;7036;4289;0,5
700;6759;3741;0,5
700;6096;3726;0,5
700;6527;3270;0,4
700;6862;3936;0,5
700;6938;4222;0,5
700;6471;3715;0,4
700;6210;3804;0,4
700;6057;3970;0,4
700;6497;3851;0,4
700;6265;3764;0,4
700;6771;3840;0,4
700;7013;4441;0,5
700;6453;3886;0,4
700;6437;3762;0,4
700;6603;4391;0,5
700;6438;4203;0,5
700;7387;3551;0,4
700;6466;4047;0,4
