"size";"compares";"swaps";"time"
100;613;349;0,1
100;643;376;0,1
100;629;357;0,1
100;644;380;0,2
100;626;349;0,1
100;634;358;0,1
100;653;385;0,1
100;633;359;0,1
100;622;345;0,1
100;666;393;0,1
100;595;350;0,1
100;640;381;0,1
100;622;348;0,1
100;658;388;0,2
100;633;358;0,1
100;619;345;0,1
100;598;318;0,1
100;630;366;0,1
100;639;362;0,2
100;649;377;0,1
100;635;361;0,1
100;667;415;0,1
100;661;397;0,2
100;651;379;0,1
100;624;365;0,1
100;606;335;0,1
100;645;371;0,1
100;631;360;0,1
100;646;379;0,2
100;621;349;0,1
100;653;392;0,1
100;621;346;0,1
100;643;375;0,2
100;598;314;0,1
100;627;348;0,1
100;648;372;0,1
100;622;351;0,1
100;654;380;0,1
100;637;369;0,1
100;654;384;0,2
100;673;400;0,1
100;650;372;0,1
100;651;397;0,1
100;638;363;0,2
100;639;370;0,1
100;617;362;0,1
100;644;368;0,1
100;649;393;0,1
100;651;380;0,1
100;645;380;0,1
100;652;391;0,1
100;645;373;0,1
100;641;385;0,1
100;633;362;0,1
100;624;357;0,1
100;626;353;0,1
100;627;351;0,2
100;619;351;0,1
100;646;372;0,1
100;653;379;0,1
100;635;373;0,2
100;635;374;0,1
100;622;352;0,1
100;652;378;0,1
100;651;377;0,1
100;615;342;0,1
100;658;387;0,1
100;640;370;0,1
100;605;333;0,1
100;643;373;0,1
100;648;382;0,1
100;649;379;0,1
100;629;361;0,1
100;625;345;0,1
100;656;385;0,1
100;629;361;0,1
100;662;385;0,1
100;627;355;0,1
100;617;343;0,1
100;644;366;0,1
100;604;323;0,1
100;649;389;0,1
100;640;373;0,1
100;634;368;0,1
100;618;342;0,1
100;646;376;0,1
100;614;333;0,1
100;609;333;0,1
100;659;394;0,1
100;635;364;0,1
100;650;377;0,1
100;626;353;0,1
100;650;374;0,1
100;618;353;0,1
100;642;377;0,1
100;637;360;0,1
100;615;343;0,1
100;620;343;0,1
100;646;372;0,1
100;625;349;0,1
200;1470;820;0,3
200;1499;849;0,3
200;1477;852;0,3
200;1503;862;0,2
200;1486;832;0,2
200;1480;856;0,3
200;1438;798;0,3
200;1480;841;0,3
200;1487;838;0,2
200;1436;793;0,2
200;1471;828;0,3
200;1477;835;0,3
200;1486;857;0,3
200;1467;809;0,2
200;1473;827;0,3
200;1470;810;0,3
200;1489;843;0,3
200;1468;835;0,2
200;1466;816;0,2
200;1504;887;0,3
200;1419;756;0,3
200;1476;829;0,2
200;1495;859;0,2
200;1495;860;0,3
200;1508;865;0,3
200;1436;806;0,3
200;1534;886;0,3
200;1500;866;0,2
200;1481;844;0,2
200;1436;788;0,2
200;1458;806;0,2
200;1453;814;0,3
200;1467;802;0,3
200;1516;872;0,3
200;1480;843;0,2
200;1495;852;0,2
200;1487;836;0,2
200;1481;844;0,3
200;1520;874;0,3
200;1456;811;0,3
200;1462;813;0,2
200;1473;829;0,2
200;1521;869;0,3
200;1477;834;0,3
200;1533;893;0,3
200;1527;891;0,3
200;1494;866;0,2
200;1468;810;0,2
200;1457;809;0,3
200;1496;860;0,3
200;1437;817;0,3
200;1496;860;0,2
200;1496;852;0,2
200;1461;823;0,3
200;1484;838;0,3
200;1463;826;0,3
200;1484;848;0,2
200;1442;806;0,2
200;1436;784;0,3
200;1454;796;0,3
200;1452;817;0,3
200;1510;871;0,3
200;1501;873;0,3
200;1483;838;0,2
200;1462;809;0,2
200;1478;833;0,3
200;1480;836;0,3
200;1495;855;0,3
200;1430;797;0,3
200;1498;860;0,3
200;1444;807;0,3
200;1455;811;0,2
200;1484;843;0,3
200;1453;811;0,3
200;1462;817;0,3
200;1483;855;0,2
200;1465;821;0,2
200;1440;796;0,3
200;1458;808;0,2
200;1507;882;0,2
200;1468;814;0,3
200;1493;849;0,3
200;1444;803;0,2
200;1474;834;0,2
200;1466;816;0,2
200;1495;859;0,3
200;1474;829;0,3
200;1435;790;0,2
200;1473;828;0,2
200;1483;822;0,3
200;1492;866;0,3
200;1495;851;0,2
200;1515;878;0,2
200;1502;865;0,3
200;1482;852;0,3
200;1496;845;0,3
200;1446;810;0,2
200;1476;834;0,2
200;1484;836;0,3
200;1504;863;0,3
300;2343;1398;0,3
300;2296;1364;0,4
300;2321;1364;0,4
300;2350;1396;0,4
300;2346;1403;0,4
300;2284;1323;0,4
300;2341;1369;0,4
300;2278;1316;0,3
300;2325;1358;0,4
300;2343;1401;0,4
300;2308;1350;0,4
300;2349;1386;0,4
300;2328;1384;0,4
300;2314;1360;0,3
300;2295;1350;0,4
300;2344;1379;0,4
300;2344;1380;0,4
300;2342;1406;0,4
300;2338;1401;0,4
300;2341;1387;0,4
300;2250;1296;0,3
300;2298;1365;0,3
300;2307;1367;0,4
300;2324;1371;0,4
300;2292;1351;0,4
300;2368;1406;0,4
300;2299;1336;0,4
300;2346;1394;0,4
300;2291;1343;0,4
300;2363;1420;0,3
300;2284;1329;0,4
300;2297;1340;0,4
300;2284;1325;0,4
300;2274;1312;0,4
300;2307;1350;0,4
300;2292;1357;0,4
300;2290;1325;0,4
300;2327;1379;0,4
300;2314;1346;0,3
300;2331;1372;0,4
300;2352;1400;0,4
300;2342;1377;0,4
300;2280;1336;0,4
300;2334;1378;0,4
300;2321;1357;0,4
300;2295;1337;0,4
300;2283;1325;0,3
300;2342;1377;0,4
300;2298;1340;0,4
300;2318;1358;0,4
300;2341;1370;0,4
300;2290;1342;0,4
300;2302;1354;0,4
300;2327;1369;0,4
300;2328;1388;0,4
300;2292;1321;0,4
300;2273;1336;0,4
300;2315;1360;0,4
300;2331;1388;0,4
300;2303;1353;0,3
300;2283;1321;0,3
300;2275;1306;0,4
300;2283;1322;0,4
300;2299;1357;0,4
300;2298;1343;0,4
300;2281;1333;0,4
300;2338;1387;0,4
300;2301;1351;0,4
300;2294;1339;0,3
300;2325;1371;0,4
300;2327;1382;0,4
300;2366;1409;0,4
300;2344;1389;0,4
300;2307;1342;0,4
300;2247;1297;0,5
300;2284;1321;0,4
300;2301;1349;0,4
300;2325;1354;0,4
300;2323;1353;0,4
300;2262;1293;0,4
300;2296;1349;0,4
300;2344;1410;0,4
300;2337;1371;0,3
300;2348;1405;0,4
300;2278;1335;0,4
300;2297;1345;0,4
300;2325;1375;0,7
300;2314;1365;0,4
300;2356;1395;0,5
300;2324;1363;0,4
300;2272;1331;0,4
300;2237;1272;0,4
300;2302;1344;0,5
300;2349;1409;0,4
300;2263;1315;0,4
300;2320;1364;0,4
300;2301;1344;0,4
300;2292;1324;0,4
300;2325;1366;0,4
300;2303;1340;0,4
400;3311;1814;0,6
400;3359;1881;0,6
400;3323;1821;0,6
400;3328;1849;0,6
400;3362;1873;0,6
400;3366;1858;0,5
400;3409;1948;0,6
400;3404;1906;0,6
400;3351;1841;0,6
400;3423;1935;0,6
400;3408;1922;0,6
400;3334;1848;0,6
400;3338;1860;0,6
400;3340;1838;0,6
400;3325;1856;0,6
400;3377;1918;0,5
400;3353;1863;0,6
400;3314;1841;0,6
400;3374;1896;0,6
400;3373;1896;0,6
400;3378;1901;0,6
400;3350;1859;0,5
400;3378;1893;0,6
400;3367;1848;0,6
400;3381;1896;0,6
400;3366;1870;0,6
400;3306;1823;0,5
400;3351;1879;0,5
400;3296;1822;0,6
400;3342;1843;0,6
400;3348;1857;0,6
400;3342;1850;0,6
400;3316;1842;0,6
400;3377;1886;0,6
400;3281;1784;0,5
400;3363;1868;0,6
400;3376;1904;0,6
400;3339;1867;0,6
400;3392;1906;0,6
400;3371;1888;0,5
400;3400;1914;0,6
400;3352;1880;0,6
400;3357;1870;0,6
400;3369;1886;0,6
400;3420;1954;0,6
400;3386;1899;0,6
400;3365;1870;0,6
400;3314;1822;0,6
400;3379;1904;0,6
400;3360;1878;0,6
400;3347;1880;0,5
400;3360;1902;0,6
400;3373;1900;0,6
400;3375;1886;0,6
400;3341;1832;0,6
400;3369;1900;0,6
400;3323;1830;0,5
400;3385;1906;0,6
400;3397;1907;0,6
400;3393;1932;0,6
400;3298;1816;0,6
400;3340;1876;0,5
400;3340;1856;0,5
400;3323;1841;0,6
400;3393;1916;0,6
400;3321;1835;0,6
400;3356;1862;0,6
400;3371;1869;0,5
400;3338;1846;0,5
400;3336;1848;0,6
400;3345;1862;0,6
400;3325;1849;0,6
400;3397;1916;0,6
400;3308;1823;0,6
400;3339;1866;0,6
400;3328;1848;0,6
400;3345;1870;0,6
400;3327;1827;0,6
400;3327;1849;0,5
400;3353;1866;0,5
400;3366;1869;0,6
400;3362;1885;0,6
400;3346;1857;0,6
400;3329;1867;0,6
400;3342;1859;0,5
400;3350;1863;0,5
400;3324;1858;0,6
400;3380;1913;0,6
400;3342;1856;0,6
400;3327;1848;0,6
400;3340;1853;0,6
400;3250;1761;0,5
400;3318;1844;0,5
400;3333;1859;0,6
400;3328;1839;0,6
400;3347;1856;0,6
400;3288;1806;0,6
400;3363;1873;0,6
400;3335;1854;0,6
400;3327;1853;0,5
500;4358;2465;0,8
500;4269;2339;0,8
500;4280;2377;0,7
500;4381;2491;0,7
500;4312;2427;0,7
500;4268;2358;0,7
500;4368;2428;0,8
500;4382;2467;0,8
500;4337;2412;0,8
500;4386;2484;0,7
500;4344;2416;0,7
500;4347;2425;0,7
500;4240;2319;0,7
500;4318;2426;0,7
500;4259;2379;0,7
500;4381;2470;0,7
500;4417;2518;0,8
500;4388;2492;0,8
500;4329;2425;0,7
500;4280;2369;0,7
500;4329;2413;0,7
500;4327;2410;0,8
500;4380;2455;0,7
500;4323;2423;0,7
500;4307;2384;0,7
500;4309;2405;0,8
500;4313;2368;0,7
500;4382;2463;0,7
500;4298;2392;0,7
500;4274;2366;0,7
500;4346;2440;0,8
500;4306;2383;0,8
500;4336;2418;0,7
500;4302;2405;0,7
500;4285;2378;0,7
500;4303;2384;0,8
500;4331;2430;0,7
500;4394;2482;0,7
500;4322;2420;0,7
500;4326;2411;0,8
500;4238;2309;0,7
500;4347;2420;0,7
500;4338;2439;0,7
500;4329;2407;0,8
500;4280;2392;0,7
500;4309;2431;0,7
500;4308;2415;0,7
500;4330;2414;0,8
500;4292;2386;0,7
500;4344;2436;0,7
500;4323;2399;0,7
500;4359;2429;0,8
500;4324;2423;0,7
500;4363;2449;0,7
500;4308;2384;0,7
500;4358;2453;0,8
500;4310;2386;0,7
500;4310;2418;0,7
500;4347;2438;0,7
500;4269;2361;0,8
500;4341;2437;0,7
500;4322;2440;0,7
500;4330;2412;0,7
500;4226;2295;0,8
500;4290;2381;0,7
500;4299;2400;0,7
500;4291;2377;0,7
500;4294;2384;0,7
500;4257;2362;0,7
500;4362;2448;0,7
500;4280;2427;0,8
500;4362;2450;0,7
500;4342;2432;0,7
500;4237;2328;0,7
500;4370;2468;0,8
500;4299;2391;0,7
500;4372;2462;0,7
500;4356;2434;0,7
500;4282;2404;0,8
500;4351;2438;0,7
500;4348;2448;0,7
500;4317;2411;0,7
500;4392;2459;0,8
500;4342;2448;0,8
500;4305;2399;0,7
500;4262;2382;0,7
500;4293;2362;0,7
500;4301;2401;0,8
500;4339;2424;0,7
500;4309;2376;0,7
500;4321;2411;0,7
500;4278;2381;0,8
500;4296;2404;0,7
500;4311;2384;0,7
500;4317;2424;0,8
500;4358;2439;0,8
500;4264;2334;0,7
500;4332;2419;0,7
500;4311;2392;0,8
500;4301;2394;0,7
600;5226;3011;0,8
600;5223;3039;0,9
600;5211;2992;0,9
600;5212;3005;0,9
600;5174;2973;0,8
600;5172;2968;0,9
600;5213;3037;0,9
600;5191;2986;0,8
600;5101;2901;0,9
600;5178;2976;0,9
600;5189;2973;0,8
600;5192;2970;0,9
600;5186;2982;0,9
600;5216;3010;0,9
600;5203;2982;0,8
600;5274;3046;0,9
600;5208;2998;0,9
600;5254;3043;0,8
600;5238;3046;0,9
600;5161;2956;0,9
600;5178;2985;0,9
600;5234;3014;0,8
600;5242;3042;0,9
600;5261;3066;0,9
600;5238;3012;0,8
600;5184;2976;0,9
600;5202;3001;0,9
600;5217;3025;0,9
600;5250;3050;0,8
