"size";"compares";"swaps";"time"
100;2493;2397;0,30
100;2482;2387;0,30
100;2453;2360;0,30
100;2595;2497;0,30
100;2509;2416;0,30
100;2400;2304;0,30
100;2386;2290;0,30
100;2365;2269;0,30
100;2665;2572;0,30
100;2809;2712;0,40
200;10572;10377;1,39
200;10709;10513;1,30
200;10891;10700;1,30
200;10128;9937;1,19
200;10262;10065;1,30
200;9786;9593;1,19
200;10608;10415;1,30
200;10541;10345;1,30
200;10996;10801;1,39
200;10205;10008;1,19
300;22897;22605;2,79
300;22580;22289;2,79
300;22301;22009;2,90
300;22655;22361;3,0
300;23951;23656;3,0
300;23743;23453;2,90
300;22029;21735;3,0
300;22588;22292;2,70
300;23789;23494;2,90
300;20994;20701;2,50
400;41990;41594;5,9
400;40528;40133;4,79
400;41505;41112;4,90
400;40829;40435;4,90
400;39188;38795;4,70
400;39647;39254;4,70
400;38305;37913;4,79
400;41311;40918;5,0
400;41431;41039;5,9
400;41060;40669;5,0
500;63076;62585;7,59
500;62165;61677;7,40
500;63684;63191;7,70
500;63131;62639;7,59
500;63401;62907;7,59
500;64804;64312;7,79
500;68509;68020;8,19
500;64050;63556;7,70
500;64008;63513;7,70
500;63110;62612;7,50
600;87422;86832;10,50
600;90504;89911;10,90
600;91947;91358;11,9
600;88166;87574;10,59
600;91836;91246;11,0
600;92073;91482;11,0
600;95053;94458;11,40
600;87565;86970;10,50
600;95736;95146;11,59
600;88996;88401;10,69
700;120226;119534;14,40
700;124605;123912;14,90
700;120415;119723;14,40
700;127722;127029;15,30
700;125198;124503;15,0
700;118231;117536;14,9
700;128210;127520;15,40
700;120294;119600;14,40
700;124360;123665;14,90
700;125393;124699;15,0
800;158654;157860;19,0
800;157901;157108;18,89
800;165575;164782;19,80
800;163643;162851;19,60
800;162550;161757;19,50
800;161958;161163;19,39
800;161619;160833;19,39
800;159737;158947;19,10
800;163269;162475;19,50
800;155002;154210;18,60
900;202337;201442;24,30
900;202344;201451;24,30
900;205669;204772;24,69
900;197516;196622;23,60
900;196100;195206;23,60
900;203065;202172;24,39
900;200968;200075;24,10
900;195939;195044;23,50
900;200741;199853;24,10
900;201632;200740;24,19
1000;254490;253497;30,69
1000;254807;253813;30,60
1000;255649;254654;30,69
1000;259580;258589;31,19
1000;250807;249811;30,19
1000;242094;241098;29,10
1000;249896;248906;30,10
1000;249310;248315;30,0
1000;252254;251262;30,30
1000;235352;234357;28,30
1100;304479;303385;36,60
1100;315071;313978;37,89
1100;304556;303463;36,79
1100;297686;296591;35,70
1100;300780;299685;36,10
1100;309008;307917;37,10
1100;299006;297918;35,89
1100;305103;304013;36,89
1100;294669;293572;36,29
1100;294883;293791;37,50
1200;365217;364027;44,20
1200;366668;365474;44,39
1200;360420;359230;43,70
1200;351398;350207;42,39
1200;363270;362077;44,0
1200;363071;361881;43,89
1200;355953;354762;43,10
1200;369828;368637;44,79
1200;347882;346691;42,29
1200;360088;358900;43,79
1300;420054;418768;50,39
1300;430557;429263;51,60
1300;423126;421834;50,79
1300;420156;418865;50,50
1300;426781;425484;51,0
1300;421574;420281;50,39
1300;419310;418021;50,10
1300;429078;427786;51,29
1300;415994;414705;49,70
1300;425623;424329;50,89
1400;492086;490695;59,0
1400;494222;492830;59,29
1400;495860;494470;59,50
1400;491719;490330;59,0
1400;496868;495474;59,70
1400;496552;495160;59,70
1400;485304;483915;58,20
1400;497053;495663;59,70
1400;492558;491166;59,10
1400;500819;499427;60,20
1500;559579;558084;67,9
1500;572872;571381;68,79
1500;575382;573892;69,9
1500;554237;552742;66,70
1500;578730;577238;70,50
1500;558527;557037;66,79
1500;573693;572201;68,59
1500;569453;567963;68,9
1500;570490;568998;68,40
1500;567099;565605;67,90
1600;625901;624311;74,90
1600;645305;643711;77,9
1600;645068;643477;77,9
1600;647946;646354;77,50
1600;636359;634765;76,9
1600;649611;648021;77,70
1600;638513;636922;76,50
1600;639669;638080;76,50
1600;647629;646033;77,50
1600;639994;638400;76,90
1700;729213;727520;87,59
1700;721062;719370;86,70
1700;719489;717801;86,79
1700;735148;733458;88,0
1700;727511;725819;87,9
1700;727696;726006;87,0
1700;708041;706349;84,70
1700;719574;717887;86,9
1700;715063;713372;85,50
1700;728355;726662;87,20
1800;810762;808972;98,9
1800;829314;827526;100,29
1800;806370;804575;96,79
1800;803113;801324;96,29
1800;819587;817795;98,40
1800;821671;819884;98,79
1800;817370;815581;98,29
1800;812178;810389;97,40
1800;816162;814369;97,79
1800;782486;780692;93,70
1900;885531;883644;107,0
1900;917702;915811;110,9
1900;885090;883195;106,9
1900;885566;883673;106,20
1900;906124;904233;108,70
1900;902168;900276;108,20
1900;910607;908714;109,90
1900;903267;901379;108,50
1900;910821;908928;109,40
1900;894177;892290;107,29
2000;1017012;1015026;122,59
2000;1012879;1010887;123,29
2000;1013586;1011595;121,29
2000;967517;965527;116,40
2000;1005922;1003930;120,40
2000;1023177;1021186;123,50
2000;997195;995200;119,40
2000;989720;987724;118,59
2000;1020773;1018783;123,59
2000;1001372;999381;120,40
2100;1135793;1133701;136,50
2100;1139092;1137004;136,40
2100;1076234;1074141;128,80
2100;1103212;1101125;132,30
2100;1106332;1104240;132,50
2100;1106353;1104261;133,0
2100;1090205;1088116;130,59
2100;1076599;1074507;129,69
2100;1107062;1104975;134,19
2100;1107288;1105199;132,80
2200;1234588;1232394;148,80
2200;1222702;1220511;147,19
2200;1204567;1202377;145,50
2200;1220577;1218384;146,59
2200;1217223;1215033;146,30
2200;1213075;1210883;145,59
2200;1187447;1185256;142,19
2200;1195248;1193056;144,90
2200;1199973;1197783;144,9
2200;1167457;1165266;140,30
2300;1331238;1328947;160,0
2300;1312483;1310189;158,69
2300;1314462;1312171;157,90
2300;1285334;1283041;154,9
2300;1339418;1337123;160,50
2300;1310775;1308480;157,9
2300;1303853;1301560;156,40
2300;1319908;1317614;158,40
