"size";"compares";"swaps";"time"
100;560;262;0,20
100;554;251;0,20
100;571;243;0,20
100;559;255;0,20
100;557;252;0,10
100;563;259;0,10
100;555;258;0,20
100;558;252;0,10
100;560;259;0,10
100;536;253;0,10
200;1332;627;0,40
200;1333;608;0,40
200;1322;623;0,40
200;1333;623;0,30
200;1319;597;0,30
200;1328;598;0,40
200;1331;619;0,40
200;1318;619;0,40
200;1336;614;0,40
200;1312;597;0,40
300;2219;1005;0,70
300;2209;976;0,90
300;2195;995;0,90
300;2208;1001;0,70
300;2220;988;0,80
300;2226;1013;0,70
300;2207;990;0,60
300;2206;985;0,60
300;2228;1002;0,60
300;2232;995;0,60
400;2994;1398;0,90
400;3049;1419;0,90
400;3042;1412;0,80
400;3046;1388;0,80
400;2999;1435;0,80
400;3058;1427;0,90
400;3049;1413;0,90
400;3042;1400;0,90
400;3053;1415;0,90
400;3049;1409;0,90
500;3881;1903;1,10
500;3862;1898;1,10
500;3880;1919;1,0
500;3857;1889;1,0
500;3856;1911;1,0
500;3872;1914;1,10
500;3832;1899;1,10
500;3864;1909;1,0
500;3851;1926;1,0
500;3874;1898;1,10
600;5009;2285;1,39
600;5013;2272;1,39
600;5034;2281;1,39
600;5038;2319;1,50
600;5038;2301;1,60
600;5053;2293;1,39
600;5026;2290;1,39
600;5026;2288;1,39
600;5024;2257;1,50
600;5032;2275;1,39
700;5849;2740;1,70
700;5864;2738;1,70
700;5866;2755;1,60
700;5835;2751;1,70
700;5840;2738;1,80
700;5886;2776;1,70
700;5856;2724;1,60
700;5818;2692;1,70
700;5873;2785;1,60
700;5890;2730;1,60
800;6893;3260;1,80
800;6929;3256;1,90
800;6873;3181;1,90
800;6898;3233;1,90
800;6835;3173;1,90
800;6923;3236;1,90
800;6880;3206;1,80
800;6867;3194;1,90
800;6898;3246;1,90
800;6915;3227;1,90
900;7825;3741;2,10
900;7814;3718;2,10
900;7820;3753;2,10
900;7825;3750;2,10
900;7818;3704;2,10
900;7818;3748;2,10
900;7867;3707;2,10
900;7811;3738;2,10
900;7813;3714;2,0
900;7793;3739;2,10
1000;8721;4271;2,29
1000;8723;4313;2,29
1000;8712;4326;2,39
1000;8726;4322;2,29
1000;8739;4276;2,29
1000;8700;4294;2,39
1000;8672;4300;2,29
1000;8706;4295;2,39
1000;8717;4316;2,29
1000;8713;4319;2,29
1100;10464;4714;2,70
1100;10440;4716;2,70
1100;10483;4737;2,79
1100;10434;4736;2,70
1100;10444;4746;2,79
1100;10450;4733;2,70
1100;10406;4697;2,70
1100;10423;4717;2,79
1100;10437;4693;2,70
1100;10431;4717;2,70
1200;11283;5171;3,0
1200;11252;5142;3,0
1200;11235;5157;3,0
1200;11263;5148;2,90
1200;11254;5169;2,90
1200;11257;5162;2,90
1200;11271;5153;2,90
1200;11253;5215;3,0
1200;11238;5154;3,0
1200;11260;5127;3,0
1300;12318;5633;3,20
1300;12291;5687;3,20
1300;12230;5619;3,20
1300;12286;5659;3,20
1300;12298;5678;3,20
1300;12291;5640;3,20
1300;12325;5669;3,20
1300;12255;5602;3,20
1300;12298;5650;3,29
1300;12281;5689;3,29
1400;13131;6177;3,39
1400;13117;6199;3,39
1400;13160;6173;3,50
1400;13102;6129;3,39
1400;13129;6171;3,39
1400;13132;6127;3,39
1400;13110;6142;3,50
1400;13122;6155;3,39
1400;13134;6144;3,39
1400;13160;6209;3,50
1500;14061;6730;3,70
1500;14087;6701;3,79
1500;14100;6697;3,70
1500;14123;6730;3,70
1500;14107;6743;3,79
1500;14108;6749;3,70
1500;14099;6699;3,70
1500;14066;6718;3,70
1500;14051;6727;3,70
1500;14111;6744;3,70
1600;15331;7216;3,90
1600;15362;7241;4,0
1600;15369;7228;4,0
1600;15397;7197;3,90
1600;15317;7192;3,90
1600;15390;7262;4,0
1600;15386;7231;4,0
1600;15367;7225;4,0
1600;15329;7228;4,0
1600;15398;7215;4,0
1700;16341;7814;4,20
1700;16322;7767;4,20
1700;16374;7763;4,20
1700;16335;7781;4,20
1700;16329;7749;4,20
1700;16373;7718;4,20
1700;16340;7805;4,20
1700;16325;7759;4,20
1700;16309;7759;4,20
1700;16359;7759;4,20
1800;17511;8428;4,50
1800;17487;8358;4,50
1800;17460;8414;4,40
1800;17492;8322;4,50
1800;17475;8356;4,50
1800;17441;8363;4,50
1800;17432;8334;4,40
1800;17482;8369;4,50
1800;17451;8388;4,40
1800;17499;8417;4,50
1900;18365;8974;4,79
1900;18396;8962;4,70
1900;18372;8974;4,70
1900;18366;8907;4,70
1900;18384;8929;4,70
1900;18384;8889;4,70
1900;18402;8944;4,70
1900;18386;8968;4,79
1900;18325;8911;4,79
1900;18357;8967;4,70
2000;19407;9593;5,0
2000;19425;9551;5,0
2000;19440;9603;4,90
2000;19413;9618;5,0
2000;19419;9611;4,90
2000;19448;9629;5,0
2000;19438;9587;5,0
2000;19452;9635;5,0
2000;19424;9610;5,0
2000;19445;9599;5,9
2100;22237;10141;5,70
2100;22246;10129;5,59
2100;22284;10141;5,59
2100;22280;10141;5,59
2100;22282;10138;5,59
2100;22263;10189;5,59
2100;22265;10146;5,59
2100;22274;10135;5,59
2100;22280;10118;5,59
2100;22200;10076;5,59
2200;23045;10580;5,90
2200;23096;10549;5,90
2200;23074;10475;5,79
2200;23147;10601;5,90
2200;23100;10542;5,79
2200;23118;10570;5,90
2200;23138;10572;5,90
2200;23134;10611;5,90
2200;23127;10534;5,90
2200;23145;10582;5,79
2300;23909;11057;6,20
2300;23991;11121;6,20
2300;23907;11043;6,50
2300;23957;11145;6,20
2300;23996;11163;6,9
2300;23922;11062;6,20
2300;23946;11104;6,29
2300;23898;11024;6,20
2300;23948;11096;6,9
2300;23928;11024;6,20
2400;24925;11548;6,40
2400;24864;11544;6,40
2400;24950;11592;6,40
2400;24954;11561;6,40
2400;24915;11540;6,40
2400;24917;11519;6,40
2400;24949;11534;6,40
2400;24922;11480;6,40
2400;24955;11539;6,40
2400;24939;11534;6,40
2500;25908;12128;6,59
2500;25888;12019;6,59
2500;25926;12059;6,59
2500;25939;12088;6,59
2500;25867;12071;6,70
2500;25909;12151;6,59
2500;25933;12050;6,50
2500;25923;12110;6,59
2500;25905;12064;7,0
2500;25910;12086;6,50
2600;27196;12580;6,90
2600;27197;12642;6,90
2600;27205;12621;6,79
2600;27246;12610;7,20
2600;27243;12663;6,90
2600;27142;12559;6,90
2600;27230;12659;7,0
2600;27232;12661;6,79
2600;27131;12645;6,90
2600;27241;12612;6,90
2700;28177;13156;7,20
2700;28143;13124;7,20
2700;28100;13171;7,20
2700;28172;13152;7,20
2700;28105;13136;7,20
2700;28135;13082;7,20
2700;28163;13134;7,9
2700;28167;13146;7,20
2700;28148;13112;7,20
2700;28148;13177;7,29
2800;29046;13682;8,50
2800;29048;13662;7,40
2800;29032;13747;8,0
2800;29038;13721;7,59
2800;29041;13730;7,40
2800;29070;13813;7,40
2800;29014;13716;7,40
2800;29099;13660;7,70
2800;29034;13697;7,70
2800;29076;13757;8,9
2900;30137;14311;8,0
2900;30186;14298;7,79
2900;30197;14313;8,19
2900;30173;14265;8,9
2900;30238;14298;8,40
2900;30198;14348;7,90
2900;30146;14310;7,79
2900;30171;14319;9,19
2900;30175;14301;8,19
2900;30155;14334;7,90
3000;31167;14892;8,0
3000;31205;14893;8,0
3000;31173;14973;8,0
3000;31143;14942;7,90
3000;31187;14988;8,0
3000;31209;14887;8,0
3000;31190;14941;8,0
3000;31168;14962;8,0
3000;31235;14904;7,90
3000;31119;14921;8,0
3100;33120;15559;8,50
3100;33085;15529;8,30
3100;33027;15547;8,30
3100;33117;15686;8,19
3100;33143;15604;8,30
3100;33150;15588;8,19
3100;33023;15563;8,19
3100;33107;15536;8,9
3100;32967;15636;8,9
3100;32981;15555;8,19
3200;33958;15977;8,59
3200;33969;16110;8,59
3200;33964;16138;8,50
3200;33958;16133;8,59
3200;33938;15994;8,50
3200;33974;16097;8,50
3200;33977;16135;8,59
3200;33925;16048;8,50
3200;33924;16084;8,69
3200;33983;16045;8,50
3300;34976;16601;8,80
3300;34992;16698;8,90
3300;34946;16684;8,80
3300;35001;16627;8,80
3300;34922;16637;8,80
3300;34922;16610;8,80
3300;35000;16630;8,80
3300;34954;16660;8,80
3300;34889;16611;8,80
3300;34989;16618;8,80
3400;36066;17169;9,9
3400;36070;17213;9,9
3400;36099;17149;9,9
3400;36076;17257;9,9
3400;36043;17221;9,19
