"size";"compares";"swaps";"time"
100;625;298;1,0
200;1386;673;1,0
300;3111;1305;2,0
400;3806;2031;3,0
500;4610;2564;3,0
600;6535;3167;5,0
700;7604;3660;5,0
800;8520;4305;6,0
900;9131;4410;7,0
1000;12047;5331;8,0
1100;11797;6374;9,0
1200;14022;6501;9,0
1300;14285;7426;10,0
1400;16599;7458;11,0
1500;19862;9410;13,0
1600;17949;9174;13,0
1700;19445;8732;13,0
1800;20762;10963;15,0
1900;22840;12036;16,0
2000;24455;12485;17,0
2100;25454;12373;17,0
2200;29336;13684;19,0
2300;30208;13344;19,0
2400;31890;17149;22,0
2500;32020;14237;21,0
2600;36126;21308;26,0
2700;33158;16990;22,0
2800;35588;17878;24,0
2900;37783;16395;24,0
3000;39764;21551;28,0
3100;39807;20246;28,0
3200;42789;22276;30,0
3300;43221;21934;30,0
3400;45313;21712;30,0
3500;46745;21974;31,0
3600;52454;26555;36,0
3700;49223;21939;32,0
3800;51421;28998;39,0
3900;53726;27953;38,0
4000;51734;23604;34,0
4100;57568;30196;39,0
4200;61117;28961;40,0
4300;57673;30211;39,0
4400;63095;33662;44,0
4500;63605;31232;42,0
4600;63912;30456;42,0
4700;69559;38380;48,0
4800;72764;36238;48,0
4900;65201;32232;44,0
5000;79675;38477;52,0
5100;69249;31734;45,0
5200;82483;35974;51,0
5300;74495;35636;48,0
5400;75239;39624;52,0
5500;84455;37195;53,0
5600;78175;41006;54,0
5700;79646;42929;55,0
5800;89715;45404;60,0
5900;85870;44011;58,0
6000;82744;40669;55,0
6100;88074;44892;60,0
6200;86465;45131;60,0
6300;86084;46489;60,0
6400;90433;43881;59,0
6500;91182;45408;61,0
6600;97915;50568;66,0
6700;99657;49962;67,0
6800;100180;51280;67,0
6900;97951;50211;66,0
7000;106291;47002;66,0
7100;110909;55350;73,0
7200;103424;50901;69,0
7300;115520;58518;77,0
7400;103865;51399;69,0
7500;123600;76044;91,0
7600;109068;56413;74,0
7700;117798;65386;84,0
7800;116555;51835;74,0
7900;119810;56681;78,0
8000;119847;54857;77,0
8100;121618;58226;80,0
8200;120764;62435;82,0
8300;118198;61852;81,0
8400;128316;58740;82,0
8500;132296;73892;92,0
8600;134552;66522;88,0
8700;130553;63183;85,0
8800;137174;73483;95,0
8900;128828;61846;84,0
9000;132649;64844;87,0
9100;140854;69742;93,0
9200;135028;70596;92,0
9300;142158;70712;95,0
9400;142924;59924;87,0
9500;147765;72367;97,0
9600;153159;66122;95,0
9700;154793;64842;95,0
9800;143862;67401;93,0
9900;157096;78828;104,0
10000;149091;77694;101,0
