"size";"compares";"swaps";"time"
1;123658;58287;1,9
2;123657;58285;1,3
3;122459;59145;0,97
4;124283;59951;1,2
5;121730;62550;0,96
6;124498;62900;0,94
7;125512;64145;0,98
8;128096;65951;0,96
9;132151;68205;0,95
10;127525;70873;0,93
11;130078;71992;0,92
12;132393;73583;0,93
13;135760;75879;0,93
14;135641;77268;0,95
15;138311;79221;0,93
16;140491;81503;0,95
17;143793;83708;0,95
18;146831;86181;0,92
19;150685;89014;0,94
20;144585;91349;0,93
21;146723;92992;0,93
22;149445;94865;0,93
23;151196;96813;0,90
24;154178;98974;0,95
