"size";"compares";"swaps";"time"
1;123658;58286;24,7
2;123655;58285;24,25
3;122468;59149;23,79
4;124285;59958;23,98
5;121722;62545;23,54
6;124495;62888;24,17
7;125497;64127;24,20
8;128105;65953;24,49
9;132135;68202;25,23
10;127538;70883;23,73
11;130077;71986;24,1
12;132409;73602;24,38
13;135746;75873;25,5
14;135621;77250;25,1
15;138285;79202;25,55
16;140523;81542;25,96
17;143789;83703;26,48
18;146804;86158;27,14
19;150691;89013;27,75
20;144571;91335;26,80
21;146721;92991;27,28
22;149484;94912;27,76
23;151189;96807;28,16
24;154207;99007;28,76
