"size";"compares";"swaps";"time"
100;643;412;0,0
200;1530;959;0,0
300;2512;1511;0,0
400;3572;2136;0,0
500;4602;2776;0,0
600;5820;3364;0,10
700;6752;4106;0,10
800;8125;4699;0,0
900;8945;5376;0,10
1000;10999;6031;0,10
1100;12009;6834;0,0
1200;13002;7694;0,10
1300;14113;8368;0,10
1400;15658;8555;0,10
1500;17015;9783;0,10
1600;18084;10561;0,20
1700;19210;11213;0,20
1800;20873;11704;0,10
1900;21836;12916;0,30
2000;23361;13425;0,30
2100;24605;14189;0,30
2200;26356;15186;0,20
2300;27939;15723;0,20
2400;29043;16701;0,20
2500;30197;17510;0,20
2600;31384;17639;0,40
2700;32933;19207;0,30
2800;33975;19224;0,30
2900;35829;20079;0,30
3000;36823;21294;0,30
3100;38578;22636;0,40
3200;39432;22741;0,30
3300;41840;23744;0,30
3400;43393;25259;0,40
3500;44354;25075;0,30
3600;47940;26438;0,50
3700;47100;26720;0,10
3800;47724;27132;0,50
3900;50290;28874;0,50
4000;51957;30383;0,40
4100;53147;29859;0,50
4200;54730;30622;0,50
4300;56011;30748;0,50
4400;57655;32837;0,50
4500;58892;33720;0,50
4600;60552;34430;0,40
4700;61816;34362;0,40
4800;62567;36120;0,50
4900;64934;37139;0,60
5000;66905;36912;0,70
5100;68411;37937;0,70
5200;69162;39585;0,40
5300;70564;40000;0,60
5400;72769;40458;0,60
5500;73948;42069;0,70
5600;75642;43480;0,50
5700;76777;43377;0,60
5800;82302;45716;0,70
5900;79441;44957;0,70
6000;81046;46905;0,60
6100;84976;47039;0,60
6200;84734;48322;0,80
6300;85252;48779;0,60
6400;88539;49882;0,60
6500;91246;51636;0,70
6600;93054;51123;0,70
6700;92827;52116;0,60
6800;94846;52617;0,70
6900;95209;54356;1,0
7000;98116;53563;1,0
7100;97277;55080;0,90
7200;100804;56627;1,0
7300;102018;55739;0,90
7400;103415;56896;0,80
7500;108645;59104;0,30
7600;108953;60816;1,0
7700;110875;60418;0,60
7800;111077;60124;1,0
7900;110499;61528;0,90
8000;112739;64183;0,90
8100;115617;64720;0,90
8200;117573;66815;0,90
8300;118759;67553;1,0
8400;121610;67542;0,90
8500;121106;67396;1,0
8600;123488;68013;1,0
8700;124981;69354;0,90
8800;129779;69193;1,10
8900;128752;71012;1,10
9000;130924;72923;1,10
9100;132798;74325;1,0
9200;132637;74474;1,10
9300;134574;72938;1,0
9400;137481;74674;1,10
9500;139753;75335;1,10
9600;139494;76388;1,0
9700;143002;79145;1,10
9800;143147;80517;1,10
9900;144943;81872;1,19
10000;143812;81325;1,19
