"size";"compares";"swaps";"time"
100;644;386;0,0
200;1467;841;0,0
300;2331;1395;0,0
400;3372;1887;0,0
500;4306;2374;0,0
600;5262;3055;0,0
700;6569;3505;0,0
800;7505;4141;0,0
900;8513;4707;0,0
1000;9650;5272;0,0
1100;10589;5951;0,0
1200;11665;6658;0,0
1300;13888;7408;0,0
1400;14724;7888;0,0
1500;15705;8478;0,0
1600;16694;9144;1,0
1700;17799;9674;0,0
1800;18677;10199;0,0
1900;19898;11118;0,0
2000;21277;11605;0,0
2100;22336;12223;1,0
2200;23398;13033;0,0
2300;24632;13695;0,0
2400;25693;14422;1,0
2500;26812;15165;0,0
2600;30247;15953;0,0
2700;31223;16501;0,0
2800;32180;17051;0,0
2900;33182;17544;0,0
3000;34173;18245;1,0
3100;35150;18696;0,0
3200;36320;19678;0,0
3300;37907;20304;0,0
3400;38813;20834;1,0
3500;39825;21598;1,0
3600;41069;22277;1,0
3700;42360;23149;0,0
3800;43376;23848;0,0
3900;45615;24600;0,0
4000;46619;25363;0,0
4100;47654;25901;0,0
4200;48828;26521;0,0
4300;49944;27276;0,0
4400;50998;28054;0,0
4500;52876;29023;1,0
4600;53788;29608;1,0
4700;55034;30478;1,0
4800;56031;31119;1,0
4900;57613;32190;0,0
5000;58840;33015;0,0
5100;60192;34087;0,0
5200;65849;34471;0,0
5300;66922;35000;1,0
5400;67601;35423;1,0
5500;68765;36121;1,0
5600;69884;36783;1,0
5700;71060;37586;0,0
5800;72573;38209;0,0
5900;73231;38602;0,0
6000;74698;39704;1,0
6100;75656;40069;1,0
6200;76920;41085;1,0
6300;78115;41858;0,0
6400;79247;42734;1,0
6500;81138;42991;1,0
6600;82370;43920;0,0
6700;83609;44810;1,0
6800;84883;45562;1,0
6900;85771;46030;1,0
7000;87041;46973;0,0
7100;88493;47593;1,0
7200;89805;48657;1,0
7300;90745;49152;1,0
7400;91849;49644;0,0
7500;93227;50746;1,0
7600;94312;51449;1,0
7700;98142;52488;0,0
7800;98966;53013;1,0
7900;100021;53683;1,0
8000;101387;54703;1,0
8100;102523;55238;1,0
8200;103557;55856;0,0
8300;104803;56813;1,0
8400;106553;57714;1,0
8500;107469;58208;1,0
8600;108778;59303;1,0
8700;109721;59536;1,0
8800;111141;60720;1,0
8900;112520;61710;1,0
9000;114696;62453;1,0
9100;115806;63254;0,0
9200;116874;63835;1,0
9300;118175;64578;1,0
9400;119198;65395;1,0
9500;120756;66577;1,0
9600;121757;67229;1,0
9700;123746;68375;1,0
9800;124977;69219;1,0
9900;126157;70132;1,0
10000;127746;71084;1,0
