"size";"compares";"swaps";"time"
100;2331;2237;0,0
200;10675;10484;0,0
300;22719;22428;0,0
400;42126;41732;0,0
500;61849;61357;0,0
600;91336;90745;1,0
700;127197;126503;0,0
800;160140;159345;0,0
900;208447;207555;0,0
1000;249932;248942;0,0
1100;308134;307039;0,0
1200;357898;356701;1,0
1300;428184;426891;1,0
1400;496734;495342;2,0
1500;568887;567394;2,0
1600;643444;641851;2,0
1700;733066;731374;2,0
1800;818701;816911;2,0
1900;905795;903903;3,0
2000;991216;989222;3,0
2100;1107222;1105128;3,0
2200;1232081;1229890;3,0
2300;1313120;1310828;4,0
2400;1449688;1447295;4,0
2500;1543047;1540556;4,0
2600;1711626;1709034;5,0
2700;1811327;1808635;5,0
2800;2032723;2029930;5,0
2900;2110690;2107797;6,0
3000;2247254;2244260;6,0
3100;2440278;2437189;6,0
3200;2531747;2528556;6,0
3300;2720888;2717593;7,0
3400;2875972;2872586;7,0
3500;3070926;3067433;7,0
3600;3217612;3214022;8,0
3700;3426497;3422804;9,0
3800;3595191;3591397;9,0
3900;3766213;3762318;9,0
4000;4038534;4034538;10,0
4100;4223297;4219213;11,0
4200;4437806;4433619;11,0
4300;4638169;4633874;12,0
4400;4898324;4893939;12,0
4500;5084714;5080224;14,0
4600;5289150;5284559;14,0
4700;5508954;5504261;14,0
4800;5720649;5715859;14,0
4900;5954921;5950034;15,0
5000;6332066;6327071;16,0
5100;6556299;6551205;17,0
5200;6722956;6717769;18,0
5300;6932629;6927337;17,0
5400;7334237;7328845;19,0
5500;7607680;7602190;19,0
5600;7805963;7800373;21,0
5700;8216635;8210945;21,0
5800;8397336;8391543;22,0
5900;8649141;8643256;22,0
6000;9141422;9135431;23,0
6100;9355832;9349740;24,0
6200;9640904;9634718;25,0
6300;9910597;9904304;25,0
6400;10305811;10299425;27,0
6500;10589423;10582929;27,0
6600;10855641;10849048;29,0
6700;11166226;11159534;29,0
6800;11388728;11381939;30,0
6900;11915511;11908619;30,0
7000;12338279;12331287;32,0
7100;12528038;12520951;32,0
7200;12804921;12797726;32,0
7300;13401073;13393785;35,0
7400;13582203;13574811;35,0
7500;14227820;14220325;38,0
7600;14473387;14465792;36,0
7700;14929264;14921577;38,0
7800;15415452;15407661;39,0
7900;15560940;15553046;39,0
8000;15949263;15941276;39,0
8100;16226060;16217974;40,0
8200;16558670;16550480;41,0
8300;17333604;17325312;43,0
8400;17257263;17248877;43,0
8500;18077868;18069375;45,0
8600;18618755;18610163;46,0
8700;18798094;18789401;47,0
8800;19382051;19373260;47,0
8900;19854792;19845898;49,0
9000;20188239;20179248;50,0
9100;20682844;20673757;52,0
9200;21313672;21304480;54,0
9300;21753692;21744410;53,0
9400;22052144;22042754;54,0
9500;22371594;22362103;57,0
9600;22944987;22935400;57,0
9700;23371539;23361856;58,0
9800;24193370;24183579;61,0
9900;24335231;24325340;62,0
10000;24890174;24880187;65,0
