"size";"compares";"swaps";"time"
100;558;255;0,0
200;1320;608;0,0
300;2210;991;0,0
400;3036;1410;0,0
500;3855;1904;0,0
600;5032;2280;0,0
700;5868;2748;0,0
800;6883;3223;0,10
900;7821;3738;0,10
1000;8715;4304;0,10
1100;10446;4734;0,10
1200;11260;5160;0,20
1300;12304;5656;0,10
1400;13130;6162;0,0
1500;14077;6701;0,10
1600;15383;7246;0,10
1700;16332;7766;0,20
1800;17448;8365;0,20
1900;18371;8958;0,20
2000;19441;9611;0,10
2100;22221;10126;0,10
2200;23093;10556;0,20
2300;23935;11074;0,10
2400;24945;11520;0,20
2500;25915;12074;0,10
2600;27207;12633;0,30
2700;28142;13134;0,20
2800;29056;13721;0,10
2900;30158;14277;0,30
3000;31177;14929;0,30
3100;33115;15598;0,20
3200;33964;16075;0,30
3300;34939;16647;0,40
3400;36055;17216;0,40
3500;37085;17851;0,40
3600;38538;18525;0,20
3700;39473;19132;0,30
3800;40556;19801;0,50
3900;41756;20489;0,40
4000;42886;21196;0,50
4100;47344;21980;0,50
4200;48737;22368;0,50
4300;49607;22804;0,60
4400;50597;23300;0,50
4500;51531;23783;0,30
4600;52451;24411;0,60
4700;53714;24888;0,50
4800;54664;25473;0,50
4900;55797;26025;0,50
5000;56811;26619;0,50
5100;57834;27270;0,40
5200;59635;27837;0,60
5300;60566;28338;0,70
5400;61675;28952;0,50
5500;62635;29551;0,50
5600;63694;30229;0,50
5700;65118;30867;0,60
5800;66124;31468;0,70
5900;67324;32214;0,50
6000;68405;32898;0,50
6100;69553;33645;0,60
6200;72439;34264;0,70
6300;73413;34766;0,50
6400;74339;35354;0,60
6500;75469;35968;0,70
6600;76520;36591;0,50
6700;77933;37206;0,60
6800;78950;37856;0,60
6900;79958;38549;0,50
7000;81172;39184;0,70
7100;82318;39965;0,80
7200;84328;40689;0,70
7300;85388;41330;1,0
7400;86349;41986;0,80
7500;87562;42654;0,80
7600;88697;43383;0,50
7700;90224;44152;0,10
7800;91288;44851;0,60
7900;92441;45622;1,0
8000;93764;46388;0,70
8100;94987;47229;1,0
8200;103782;48075;0,80
8300;104954;48475;0,90
8400;105864;48911;1,0
8500;106869;49411;1,0
8600;107818;49913;0,90
8700;108743;50529;0,80
8800;110035;51011;1,0
8900;110961;51528;1,0
9000;112065;52121;1,0
9100;113116;52751;1,0
9200;114096;53445;1,0
9300;115940;53968;0,90
9400;116858;54493;1,0
9500;117993;55096;1,0
9600;118927;55622;0,90
9700;120003;56342;1,0
9800;121418;56954;1,30
9900;122442;57572;1,0
10000;123700;58262;1,0
