"size";"compares";"swaps";"time"
100;550;700;0,0
200;1323;1600;0,0
300;2240;2700;0,0
400;3051;3600;0,0
500;3874;4500;0,0
600;5035;6000;1,0
700;5865;7000;0,0
800;6887;8000;0,0
900;7812;9000;0,0
1000;8715;10000;0,0
1100;10461;12100;1,0
1200;11243;13200;0,0
1300;12322;14300;0,0
1400;13117;15400;0,0
1500;14072;16500;0,0
1600;15399;17600;0,0
1700;16335;18700;0,0
1800;17494;19800;0,0
1900;18361;20900;0,0
2000;19389;22000;0,0
2100;22183;25200;1,0
2200;23068;26400;0,0
2300;23909;27600;0,0
2400;24907;28800;0,0
2500;25941;30000;0,0
2600;27174;31200;0,0
2700;28125;32400;0,0
2800;29038;33600;0,0
2900;30205;34800;0,0
3000;31200;36000;0,0
3100;33098;37200;1,0
3200;33926;38400;0,0
3300;34974;39600;1,0
3400;36061;40800;1,0
3500;37046;42000;0,0
3600;38628;43200;0,0
3700;39466;44400;0,0
3800;40555;45600;0,0
3900;41792;46800;0,0
4000;42926;48000;0,0
4100;44791;53300;1,0
4200;48703;54600;1,0
4300;49591;55900;0,0
4400;50618;57200;0,0
4500;51476;58500;0,0
4600;52549;59800;1,0
4700;53647;61100;1,0
4800;54681;62400;0,0
4900;55833;63700;1,0
5000;56868;65000;1,0
5100;57769;66300;0,0
5200;59627;67600;0,0
5300;60549;68900;0,0
5400;61752;70200;1,0
5500;62653;71500;1,0
5600;63698;72800;1,0
5700;65144;74100;1,0
5800;66141;75400;0,0
5900;67385;76700;0,0
6000;68340;78000;1,0
6100;69557;79300;1,0
6200;72439;80600;0,0
6300;73404;81900;1,0
6400;74332;83200;0,0
6500;75503;84500;0,0
6600;76527;85800;1,0
6700;77914;87100;1,0
6800;78987;88400;1,0
6900;79922;89700;0,0
7000;81091;91000;1,0
7100;82251;92300;1,0
7200;84239;93600;0,0
7300;85391;94900;1,0
7400;86340;96200;1,0
7500;87589;97500;1,0
7600;88679;98800;1,0
7700;90235;100100;1,0
7800;91260;101400;1,0
7900;92437;102700;1,0
8000;93849;104000;1,0
8100;94979;105300;1,0
8200;102273;114800;1,0
8300;105056;116200;1,0
8400;105908;117600;1,0
8500;106893;119000;1,0
8600;107848;120400;1,0
8700;108785;121800;1,0
8800;110053;123200;1,0
8900;110940;124600;1,0
9000;112028;126000;1,0
9100;113074;127400;1,0
9200;114051;128800;1,0
9300;115940;130200;1,0
9400;116877;131600;1,0
9500;118015;133000;1,0
9600;118919;134400;1,0
9700;119961;135800;1,0
9800;121438;137200;1,0
9900;122411;138600;1,0
10000;123683;140000;1,0
