"size";"compares";"swaps";"time"
100;695;376;0,0
200;1547;863;0,0
300;2740;1766;0,0
400;3423;2229;0,0
500;5210;2979;0,0
600;5858;3664;0,0
700;8107;3450;0,0
800;8184;5026;0,0
900;9523;5807;0,0
1000;11279;5607;0,0
1100;11969;7161;0,0
1200;13012;7156;0,0
1300;15553;8177;0,0
1400;16503;8277;0,0
1500;17660;9452;0,0
1600;20379;10002;1,0
1700;21593;11917;0,0
1800;21449;11368;0,0
1900;25152;10576;0,0
2000;25036;13115;0,0
2100;26361;14220;1,0
2200;28878;15816;0,0
2300;28087;14660;0,0
2400;29485;15725;1,0
2500;36526;18127;0,0
2600;31086;17744;0,0
2700;37906;22439;1,0
2800;33642;17193;0,0
2900;41004;22906;0,0
3000;38011;20857;1,0
3100;41682;22455;0,0
3200;43800;22890;0,0
3300;43427;23930;0,0
3400;42674;23946;1,0
3500;48658;25682;1,0
3600;53738;25719;0,0
3700;46645;24145;0,0
3800;52242;29575;1,0
3900;49551;28624;0,0
4000;51885;29029;0,0
4100;53781;29711;0,0
4200;61251;32063;0,0
4300;61798;33131;0,0
4400;65769;36396;0,0
4500;62315;34481;1,0
4600;61922;33614;1,0
4700;64796;33630;0,0
4800;67043;35552;0,0
4900;73251;39044;0,0
5000;68292;38509;0,0
5100;77264;42930;0,0
5200;72569;41634;0,0
5300;74782;38105;0,0
5400;73784;42113;0,0
5500;75581;37965;0,0
5600;78283;41916;1,0
5700;77314;43209;1,0
5800;84551;43278;0,0
5900;91553;50053;0,0
6000;90743;54974;0,0
6100;89361;46140;1,0
6200;93785;57216;1,0
6300;91895;48772;1,0
6400;91651;55892;1,0
6500;91171;51410;0,0
6600;96863;52411;1,0
6700;104809;58358;1,0
6800;96152;52769;1,0
6900;109456;56423;0,0
7000;112782;62431;1,0
7100;101299;57586;0,0
7200;103425;51666;1,0
7300;108930;57239;1,0
7400;114269;56693;1,0
7500;111032;61349;1,0
7600;120183;64025;1,0
7700;120144;62953;0,0
7800;112140;62480;1,0
7900;121064;63145;1,0
8000;125320;59387;1,0
8100;135820;66493;1,0
8200;126007;69657;1,0
8300;124538;60866;0,0
8400;126530;69300;1,0
8500;122954;71640;1,0
8600;129757;73241;1,0
8700;125193;69075;1,0
8800;128038;64645;1,0
8900;129022;67388;1,0
9000;134332;71706;0,0
9100;135451;78587;1,0
9200;143978;81246;1,0
9300;145659;85126;1,0
9400;147870;85535;1,0
9500;141794;68088;1,0
9600;141406;77192;1,0
9700;146626;76664;1,0
9800;144663;79413;1,0
9900;142098;75638;1,0
10000;148954;81766;1,0
