"size";"compares";"swaps";"time"
5000;55866;28776;566,26
5000;57244;28948;578,0
5000;57744;29577;582,23
5000;59024;30462;611,50
5000;61072;31618;613,36
5000;58744;32908;586,79
5000;59975;33428;596,79
5000;61146;34260;604,10
5000;62753;35416;619,63
5000;62816;36128;621,36
5000;64204;37171;633,20
5000;65264;38291;645,6
5000;66834;39303;656,50
5000;68445;40632;669,20
5000;70343;42015;687,39
5000;67354;43246;653,26
5000;68351;43996;661,33
5000;69636;44862;672,60
5000;70616;45932;680,86
5000;72030;46932;696,23
