"size";"compares";"swaps";"time"
100;558;256;1,82
200;1320;608;4,3
300;2213;993;6,45
400;3040;1412;8,43
500;3857;1900;10,57
600;5032;2286;13,76
700;5861;2730;16,32
800;6889;3221;18,37
900;7824;3736;20,73
1000;8720;4303;23,7
1100;10439;4729;27,26
1200;11261;5160;29,76
1300;12303;5657;32,9
1400;13121;6165;34,56
1500;14094;6718;36,99
1600;15381;7249;39,50
1700;16328;7763;42,22
1800;17465;8373;44,57
1900;18372;8943;47,3
2000;19435;9597;49,56
2100;22239;10130;55,92
2200;23097;10549;58,28
2300;23923;11058;60,86
2400;24928;11517;63,68
2500;25908;12079;66,31
2600;27215;12622;68,98
2700;28140;13135;71,62
2800;29050;13721;74,15
2900;30168;14287;76,90
3000;31193;14934;79,73
3100;33116;15569;82,34
3200;33966;16093;85,17
3300;34951;16639;87,68
3400;36077;17230;90,34
3500;37085;17867;92,87
3600;38546;18539;95,64
3700;39478;19134;98,26
3800;40546;19788;100,98
3900;41739;20473;103,81
4000;42872;21201;106,45
4100;47248;21983;116,26
4200;48706;22358;119,45
4300;49598;22813;121,87
4400;50599;23302;124,59
4500;51536;23821;127,34
4600;52461;24423;130,36
4700;53728;24897;132,88
4800;54662;25446;135,96
4900;55795;26026;138,62
5000;56821;26643;141,38
5100;57823;27309;144,16
5200;59638;27839;147,16
5300;60572;28378;150,37
5400;61695;28972;152,68
5500;62635;29584;155,65
5600;63700;30238;158,43
5700;65115;30844;161,31
5800;66130;31473;164,12
5900;67360;32184;167,9
6000;68379;32856;170,12
6100;69547;33614;173,0
6200;72441;34239;175,99
6300;73390;34758;178,65
6400;74342;35379;181,66
6500;75446;35942;184,43
6600;76515;36596;187,55
6700;77915;37232;190,8
6800;78949;37851;192,94
6900;79968;38548;195,81
7000;81171;39202;198,47
7100;82302;39947;201,9
7200;84307;40684;204,21
7300;85359;41297;206,97
7400;86366;41978;209,96
7500;87577;42638;212,96
7600;88696;43371;215,47
7700;90243;44150;218,71
7800;91292;44851;221,27
7900;92456;45606;223,75
8000;93760;46410;226,68
8100;95002;47214;229,25
8200;103300;48072;246,31
8300;104980;48455;249,75
8400;105866;48914;252,66
8500;106884;49396;255,30
8600;107816;49924;258,13
8700;108748;50529;260,98
8800;110013;51001;264,2
8900;110991;51543;267,13
9000;112088;52123;270,7
9100;113112;52735;272,76
9200;114122;53426;275,89
9300;115910;53939;279,12
9400;116865;54488;282,73
9500;117994;55075;284,79
9600;118919;55678;287,89
9700;120015;56338;290,82
9800;121412;56949;293,81
9900;122435;57586;296,75
10000;123659;58269;299,99
