"size";"compares";"swaps";"time"
100;639;384;0,56
200;1556;913;1,19
300;2580;1497;2,0
400;3675;2102;2,79
500;4801;2756;3,54
600;5983;3371;4,34
700;7200;4092;5,34
800;8398;4731;6,19
900;9597;5362;7,0
1000;11056;6152;7,98
1100;12375;6819;8,85
1200;13544;7661;9,84
1300;14950;8272;10,74
1400;16313;9031;11,69
1500;17616;9649;12,55
1600;19085;10673;13,78
1700;20447;11428;14,68
1800;21848;12101;15,68
1900;23207;12890;16,53
2000;24841;13792;17,71
2100;26147;14413;18,64
2200;27822;15373;19,80
2300;29150;16051;20,75
2400;30701;17003;21,92
2500;32273;17767;22,94
2600;33824;18633;24,0
2700;34942;19244;25,3
2800;36604;20098;25,89
2900;38222;20999;27,3
3000;39379;21803;28,1
3100;41031;22644;29,19
3200;42501;23386;30,12
3300;44152;24011;31,1
3400;45932;25238;32,39
3500;47164;26076;33,54
3600;48380;26358;34,7
3700;50277;27636;35,52
3800;51785;28579;36,60
3900;53729;29354;37,75
4000;54943;30277;38,82
4100;56627;30892;39,81
4200;58247;31790;40,81
4300;59784;32839;42,25
4400;61531;33108;42,89
4500;62599;33805;43,71
4600;64838;35479;45,85
4700;65717;35963;46,32
4800;67768;36664;47,35
4900;69188;37932;48,71
5000;71082;38785;49,85
5100;72646;39816;51,20
5200;74789;40607;52,39
5300;75882;42051;53,85
5400;77145;41702;54,9
5500;79148;43283;55,65
5600;80987;43919;56,78
5700;82416;44673;57,84
5800;84216;45921;59,4
5900;85359;46250;59,75
6000;87151;47197;60,78
6100;88676;48095;62,2
6200;90700;49673;63,71
6300;91803;49831;64,15
6400;93959;50585;65,35
6500;95800;51378;66,53
6600;97346;52882;67,89
6700;98283;53091;68,34
6800;101398;54598;70,37
6900;102816;55988;71,84
7000;104964;56973;73,23
7100;105585;56869;73,40
7200;107553;58618;75,17
7300;109434;59013;76,18
7400;110637;59300;76,62
7500;111985;60352;78,0
7600;114122;61426;79,26
7700;116915;63056;81,34
7800;118602;63962;82,31
7900;118910;64309;82,64
8000;121228;65598;84,31
8100;122516;66321;85,31
8200;124010;67133;86,18
8300;126493;67604;87,40
8400;127408;68608;88,31
8500;130436;70349;90,43
8600;130981;70624;90,84
8700;133337;72001;92,45
8800;134209;73306;93,67
8900;136003;72876;94,12
9000;138879;74659;96,93
9100;140296;76322;98,1
9200;141286;76837;98,65
9300;144052;78756;101,10
9400;144626;78343;100,89
9500;145969;78762;102,15
9600;148528;80014;103,40
9700;150028;81716;104,96
9800;151563;81065;105,20
9900;153538;81960;106,17
10000;155771;83304;108,1
